titulo,ano,paginas,adulto,artes,autoajuda,aventura,biografia,comunicação,contos,crime,crônica,culinária,decoração,drama,economia,ensaios,entretenimento,erótico,fantasia,ficção,filosofia,história,infantil,infantojuvenil,brasileira,estrangeira,matemática,memórias,música,não-ficção,poesias,policial,política,psicologia,religião,romance,saúde,sexo,sociologia,suspense,terror,viagens,gender,ratingcurrent,resenhas,abandonos,relendo,querem_ler,lendo,leram,favoritos,desejados,trocam,avaliaram
Diário da Fani,2012,432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,F,4.5,8,8,6,1.741,29,1.196,216,593,14,599
Dark Eden,2012,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,3.6,9,7,0,253,9,173,15,73,16,135
Como cozinhar sem receitas,2012,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,3.6,1,7,1,208,28,28,6,49,1,22
Como Narrar Uma História,2011,81,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,3.9,4,2,0,331,10,119,7,98,1,83
Como Escrever Textos Técnicos e Profissionais,2011,88,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,3.9,1,0,0,52,6,21,1,18,0,13
Como Escrever Diálogos,2011,88,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,3.8,3,0,1,500,24,179,14,139,2,125
Heróis e exílios ,2011,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,4.0,3,0,0,101,8,61,7,34,1,42
Ideias Geniais,2011,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,3.9,6,1,1,148,6,98,8,35,5,61
Heróis da paz,2011,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,3.9,2,0,0,22,0,12,3,5,2,8
A vaga é sua,2011,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,3.5,1,1,0,25,1,11,0,3,0,5
O TEMPO NÃO TEM IDADE,2011,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,4.5,0,1,0,15,0,4,1,2,0,2
O Livro das Curiosidades Romanas,2011,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,3.6,3,1,0,77,7,39,1,27,1,30
Jantares de Cinema,2011,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,4.5,1,0,1,56,1,28,2,23,1,17
Whisky de A a Y: o guia perfeito para um bom apreciador ,2011,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,5.0,1,0,0,7,0,4,2,1,0,2
A mulher de 40: sua sexualidade e seus afetos,2011,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,4.7,1,0,0,8,0,5,0,3,0,3
Agente Amélia  o diamante fantasma!,2011,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,4.1,1,0,0,14,2,39,3,0,1,27
O gourmet na cozinha,2011,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,0,0,0,0,2,0,0,0,1,0,0
A Estreia de Fani,2011,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,F,4.4,978,345,167,12.108,640,42.607,6.921,3.283,404,22.815
Receitas e segredos do Comida di Buteco ,2010,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,3.5,0,0,1,91,7,9,1,4,0,2
Primeiros socorros para cães e gatos,2010,432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,4.3,0,0,2,162,23,35,5,28,2,23
Guia Off-Road,2010,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,4.0,0,0,0,4,0,3,0,1,0,1
Você e suas circunstâncias,2010,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,3.3,0,0,0,4,1,3,0,1,0,3
Na ponta da língua,2009,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,0,0,0,0,2,1,2,0,1,0,0
Fani Na Terra Da Rainha,2009,328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,F,4.4,452,164,99,8.468,422,34.774,5.161,2.686,199,18.397
Copa do Brasil - do inferno ao paraíso,2009,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,3.3,0,0,0,3,0,7,1,0,0,3
Timão 100 Anos,2009,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,4.6,1,1,0,25,2,31,5,1,0,16
Corinthians campeão paulista 2009,2009,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,3.9,1,0,0,6,1,28,2,0,0,15
História das invenções ,2009,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,3.8,1,0,0,37,3,18,0,12,1,9
A coragem que vem de dentro,2009,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,4.3,1,0,0,9,0,14,3,0,3,7
"Diversidade,espaço e relações étnico-raciais",2009,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,4.0,0,0,0,28,1,5,1,0,0,2
Eu Voltei!,2008,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,4.0,1,0,0,0,0,11,1,0,0,8
Beleza do Corpo na Dinâmica do Envelhecer,2008,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,4.0,0,0,0,7,0,3,0,1,0,1
"Envelhecer ou Morrer, eis a questão",2008,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,4.3,0,0,0,3,0,3,0,1,1,3
Quitandas de Minas,2008,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,5.0,0,0,0,56,2,7,0,2,0,2
Galo,2007,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,4.9,0,0,0,5,0,11,1,2,0,6
A Mente e o Significado da Vida,2006,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,4.2,0,0,1,9,1,10,0,2,0,5
Estrada Real - Caminhos do Espinhaço,2005,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,5.0,0,0,0,2,0,1,0,1,0,1
Quem somos nós? ,2004,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,4.8,0,1,0,10,1,8,0,2,0,4
O vinho no gerúndio,2004,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,4.0,0,1,0,5,0,5,1,4,1,5
Vestibular sem sofrimento,2004,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,3.7,0,0,0,7,1,6,0,1,0,3
Japanese Fairy Tales,2003,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,3.3,2,1,0,14,0,13,0,0,0,8
Estrada Real - Viagem de Muitos Caminhos,2003,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,5.0,0,0,0,2,0,1,0,1,0,1
Gritos no Vazio,2002,432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,4.1,4,10,2,973,23,165,24,166,6,107
Confissão,2001,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,4.1,44,18,7,1.800,41,2.518,350,662,25,1.480
Marketing sem pena,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,3.0,0,0,0,1,0,3,0,0,0,1
Diário de uma garota nada popular,2020,266,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,3.9,2,3,2,323,10,92,6,52,1,62
O Farol de Fisher,2020,294,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,F,3.8,29,2,1,792,2,71,9,142,2,91
Cadê meu herói?,2020,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,F,4.1,38,5,0,226,5,138,11,43,3,128
Os mestres da maracutaia,2020,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,4.0,2,0,1,113,2,5,0,18,1,4
Uma Luz No Outono,2020,294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,F,4.3,104,7,0,2.968,41,808,70,545,5,648
A única memória de Flora Banks,2020,280,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,F,3.7,62,12,0,1.573,25,303,19,307,2,262
Pânico,2020,336,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,F,3.4,6,0,0,45,1,1,0,13,1,14
A verdade segundo Ginny Moon,2020,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,F,4.1,12,1,0,187,3,43,3,40,1,43
Um Beijo de Inverno Na Livraria dos Corações Solitários,2020,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,F,4.1,75,2,0,1.520,25,512,44,352,1,433
Nascido do Crime,2020,311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,F,4.6,351,14,1,1.479,102,1.888,326,286,3,1.663
Um Assassino Nos Portões,2020,434,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,4.5,66,9,1,2.433,79,426,79,467,1,375
Uma Chama Entre as Cinzas,2020,434,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,4.5,393,64,8,8.317,254,4.213,1.007,2.022,15,3.540
Uma Tocha na Escuridão,2020,434,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,F,4.4,155,26,5,5.142,148,1.823,346,905,2,1.518
O Caso do Marquês Desaparecido,2020,179,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,F,3.8,115,16,1,3.410,80,855,55,464,10,662
"Meia-noite, Evelyn!",2020,392,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,F,4.4,98,1,0,1.173,47,490,90,256,1,476
Santo Guerreiro,2020,588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,M,4.7,32,0,1,487,80,99,17,104,3,92
Quer casar comigo todos os dias?,2020,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,5.0,0,0,0,1,1,0,0,3,0,1
Vem Comigo,2019,305,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,F,4.3,109,10,0,1.937,35,623,125,342,10,582
Sem você,2019,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,F,3.9,5,1,0,187,1,19,1,76,1,21
Diário De Uma Garota Nada Popular,2019,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,4.0,3,1,2,287,10,295,13,75,2,157
Renúncia,2019,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,3.9,4,1,0,115,2,20,3,34,2,15
"International Guy: Londres, Berlim, Washington",2019,434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,F,4.0,9,0,0,828,14,93,17,129,3,86
International Guy: Londres,2019,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,F,3.8,4,0,0,42,2,16,0,6,0,30
International Guy: Washington,2019,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,3.7,3,0,0,41,1,22,0,4,0,28
International Guy: Berlim,2019,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,3.6,5,0,0,39,3,1,0,5,0,28
Um Amor de Inverno,2019,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,F,4.0,180,22,1,4.199,58,1.569,111,819,9,1.295
"International Guy: Madri, Rio de Janeiro, Los Angeles",2019,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,F,4.3,9,0,0,275,2,77,15,115,1,64
International Guy: Madri,2019,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,F,3.9,2,0,0,36,1,3,0,2,0,26
International Guy: Los Angeles,2019,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,F,3.9,4,0,0,33,1,3,0,4,0,25
International Guy: Rio de Janeiro,2019,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,F,3.7,2,0,0,31,2,3,0,4,1,24
Um Eco Na Escuridão,2019,462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,F,4.8,17,1,1,614,5,124,64,135,2,140
Ao seu lado,2019,280,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,F,4.1,169,8,0,2.218,25,1.953,220,414,3,1.589
Loucamente Apaixonada Na Livraria dos Corações Solitários,2019,322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,F,4.2,116,14,0,2.871,26,979,125,721,4,782
As Dez-Vantagens de Morrer Depois de Você,2019,252,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,4.1,103,15,0,1.889,25,555,60,430,7,478
Ofélia,2019,266,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,F,3.7,15,2,1,340,2,51,7,92,4,61
O Mapa Que Me Leva Até Você,2019,322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,F,3.5,29,7,0,1.484,17,192,12,241,7,161
Lágrimas de Amor e Café,2019,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,F,4.2,131,10,1,2.168,47,984,183,572,8,868
Verum,2019,224,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,F,3.5,8,1,0,161,5,76,7,81,1,55
Entre a Luz e a Escuridão,2019,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,4.4,29,0,1,467,7,141,34,118,3,118
Todos os Santos Malditos,2019,252,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,3.9,42,4,0,1.013,29,198,37,309,2,200
A Filha do Rei do Pantano,2019,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,F,3.8,139,25,0,1.693,54,1.567,99,414,15,1.268
Simplesmente Blue,2019,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,F,4.3,125,6,1,1.273,31,942,132,351,2,800
A Filha do Rei do Pântano,2019,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,F,3.8,139,25,0,1.693,54,1.567,99,414,15,1.268
Quando a luz apaga,2019,476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,F,4.2,59,4,0,1.444,45,341,48,406,3,306
WOW! O primeiro contato,2019,322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,4.1,47,2,1,361,7,103,8,113,7,121
Entre a luz e a escuridão,2019,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,4.4,29,0,1,467,7,141,34,118,3,118
Garota Online Em Carreira Solo,2019,280,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,F,4.0,13,3,0,507,7,176,10,123,1,150
Amor sob encomenda,2019,546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,F,4.4,518,51,6,4.924,246,5.046,856,1.139,2,4.103
Uma Surpresa Na Primavera,2019,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,F,4.2,109,6,1,2.098,34,924,79,528,1,751
A Rede de Alice,2019,518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,F,4.6,195,15,1,3.002,148,1.701,350,605,5,1.424
Desencantada,2018,476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,F,4.5,316,41,12,6.203,166,5.950,1.468,1.816,11,4.441
Vida,2018,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,F,4.1,11,4,1,343,8,252,29,125,5,173
Fim dos Dias,2018,322,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,F,4.3,52,3,2,686,20,875,161,257,4,709
A Garota dos Pesadelos,2018,266,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,3.8,42,6,0,674,16,345,36,224,2,326
Amor Verdadeiro Na Livraria dos Corações Solitários,2018,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,F,4.1,140,9,1,2.519,36,1.439,155,846,5,1.135
Diário de Uma Garota Nada Popular,2018,272,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,4.1,1,2,1,215,7,421,15,62,2,226
O Amante da Princesa,2018,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,F,4.0,58,6,1,861,21,511,77,204,9,469
Senhorita Aurora,2018,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,F,4.3,475,101,3,3.239,89,5.358,1.360,955,11,4.499
Correndo Descalça,2018,307,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,F,4.4,83,2,0,896,15,742,165,294,2,657
Gosto Dela Livre,2018,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,F,4.0,4,0,0,94,1,53,10,29,0,57
A Névoa Escarlate,2018,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,4.1,4,0,0,194,2,49,6,90,1,39
Um Verão Na Itália,2018,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,F,3.8,356,64,1,3.835,179,3.116,217,951,14,2.516
Sob a Luz da Escuridão,2018,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,F,4.0,78,14,1,847,18,369,62,202,5,309
Uma Voz Ao Vento,2018,504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,F,4.7,37,1,1,617,26,237,89,198,3,207
Tempo de Partir,2018,434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,4.4,21,2,0,385,7,109,22,127,2,108
